               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              2.5316,              93.062,              1.7081,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070545,           0.0032727,           0.0032727
                   1,              1.8705,              33.251,              1.2192,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.040452,           0.0065126,           0.0065126
                   2,              2.6864,              3.1409,              1.5617,          2.3154e-05,           0.0021521,          1.1708e-05,           1.557e-06,                   0,                   0,                   0,            0.010264,           0.0096583,           0.0096583
                   3,              5.1276,               5.151,              2.1715,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0095757,           0.0095757,           0.0095757
                   4,              5.0193,              5.3887,              2.0684,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0095757,           0.0095757,           0.0095757
                   5,              5.5922,              5.6483,              2.1069,          2.5282e-05,           0.0014347,          1.2715e-05,          3.2048e-06,                   0,                   0,                   0,           0.0094343,           0.0094343,           0.0094343
                   6,              5.3638,              5.4589,              1.9685,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0092929,           0.0092929,           0.0092929
                   7,              4.9844,              4.8239,              1.8757,            0.062056,           0.0093257,           0.0082275,           0.0015206,                   0,                   0,                   0,           0.0091514,           0.0091514,           0.0091514
                   8,              4.6961,              4.1755,              1.7549,             0.29605,             0.15352,              0.1025,            0.019107,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                   9,              4.5282,               3.778,              1.6784,             0.13638,             0.15925,            0.049533,           0.0090465,                   0,                   0,                   0,           0.0088686,           0.0088686,           0.0088686
                  10,              4.3295,              3.5166,              1.6714,             0.21448,             0.20373,            0.096213,            0.019822,                   0,                   0,                   0,           0.0087271,           0.0087271,           0.0087271
                  11,              4.2215,              3.3532,               1.632,             0.26781,             0.26255,             0.11653,            0.025363,                   0,                   0,                   0,           0.0085857,           0.0085857,           0.0085857
                  12,               4.176,              3.2729,              1.6091,             0.27203,             0.23027,             0.13724,            0.032202,                   0,                   0,                   0,           0.0084443,           0.0084443,           0.0084443
                  13,              4.1299,              3.1662,              1.6006,             0.47265,              0.2109,             0.21273,            0.042737,                   0,                   0,                   0,           0.0083029,           0.0083029,           0.0083029
                  14,               4.069,              3.0154,              1.5601,             0.41938,             0.27762,             0.17858,            0.033346,                   0,                   0,                   0,           0.0081614,           0.0081614,           0.0081614
                  15,              4.0194,              2.9223,               1.544,             0.39665,             0.29947,             0.21572,             0.04616,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
